Id,SalePrice_Predicted
1461,135856.5077317208
1462,148149.98756504373
1463,183235.31960076635
1464,197088.5120270427
1465,185658.79386731563
1466,192086.35289202753
1467,176604.54522006903
1468,197088.5120270427
1469,149089.66692954986
1470,139066.76379087652
1471,185658.79386731563
1472,149089.66692954986
1473,148149.98756504373
1474,193858.93705410598
1475,139066.76379087652
1476,224357.38245572784
1477,176312.4520066487
1478,192880.86547301023
1479,178268.14705034863
1480,224357.38245572784
1481,197088.5120270427
1482,189309.05907648976
1483,189309.05907648976
1484,189309.05907648976
1485,197088.5120270427
1486,197088.5120270427
1487,197088.5120270427
1488,176604.54522006903
1489,179094.48758196403
1490,189309.05907648976
1491,201502.61252874113
1492,138204.48352687247
1493,176312.4520066487
1494,206376.57458452272
1495,192086.35289202753
1496,176604.54522006903
1497,195085.87289389438
1498,194071.72948710853
1499,171729.59488020925
1500,194071.72948710853
1501,193057.58608032262
1502,194071.72948710853
1503,148149.98756504373
1504,197088.5120270427
1505,189309.05907648976
1506,196110.44044594702
1507,206376.57458452272
1508,274231.28474393405
1509,208019.95395193686
1510,148149.98756504373
1511,136565.4636609339
1512,189309.05907648976
1513,196110.44044594702
1514,184427.17218645138
1515,176312.4520066487
1516,176604.54522006903
1517,138204.48352687247
1518,196110.44044594702
1519,176312.4520066487
1520,136565.4636609339
1521,136565.4636609339
1522,148149.98756504373
1523,135856.5077317208
1524,139066.76379087652
1525,135856.5077317208
1526,135856.5077317208
1527,140141.7421044588
1528,138204.48352687247
1529,148149.98756504373
1530,143731.18920432345
1531,149257.8948817745
1532,138204.48352687247
1533,136565.4636609339
1534,140967.83636559796
1535,143731.18920432345
1536,140967.83636559796
1537,138204.48352687247
1538,176312.4520066487
1539,232591.5869686134
1540,194839.4008297775
1541,163334.24410996254
1542,169924.77472693333
1543,179037.39749865525
1544,140141.7421044588
1545,138204.48352687247
1546,163334.24410996254
1547,169924.77472693333
1548,163334.24410996254
1549,138204.48352687247
1550,176312.4520066487
1551,138204.48352687247
1552,189227.73339177677
1553,169924.77472693333
1554,140967.83636559796
1555,196110.44044594702
1556,163334.24410996254
1557,140967.83636559796
1558,138204.48352687247
1559,169924.77472693333
1560,176312.4520066487
1561,196110.44044594702
1562,138204.48352687247
1563,139066.76379087652
1564,135856.5077317208
1565,149334.12978826495
1566,149716.37185020233
1567,140141.7421044588
1568,202843.36274659433
1569,178268.14705034863
1570,140967.83636559796
1571,146494.54204304895
1572,138204.48352687247
1573,138204.48352687247
1574,185658.79386731563
1575,153271.61057780305
1576,201502.61252874113
1577,189309.05907648976
1578,176604.54522006903
1579,139066.76379087652
1580,202843.36274659433
1581,156525.30798008243
1582,135856.5077317208
1583,201502.61252874113
1584,206376.57458452272
1585,139066.76379087652
1586,138204.48352687247
1587,136565.4636609339
1588,136565.4636609339
1589,138204.48352687247
1590,135856.5077317208
1591,135856.5077317208
1592,177823.39797619163
1593,140141.7421044588
1594,287147.21262996807
1595,143731.18920432345
1596,179037.39749865525
1597,235114.39231029458
1598,183235.31960076635
1599,139066.76379087652
